,Place Name,Postal Code,Town Name,Region 1,Region 2,City / Town
258,Brenthurst,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
259,Dalpark,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
260,Dalview,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
261,Brakpan North,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
262,Minnebron,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
263,Dalpark Ext,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
264,Leachville,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
265,Anzac,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
266,"Brakpan Ext 1, 11",1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
267,"Brenthurst Ext 1, 2, 11",1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
268,Kenleaf,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
269,Larrendale,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
270,Leachville Ext 2,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
271,Sallies Village,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
272,Anzac Ext 1,1541,Brakpan,Gauteng,Ekurhuleni (EKU),Anzac
273,Sherwood Gardens,1541,Brakpan North,Gauteng,Ekurhuleni (EKU),Anzac
274,Huntington,1541,Brakpan North,Gauteng,Ekurhuleni (EKU),Anzac
275,"Dalpark Ext 1, 2, 4, 6, 9, 11",1541,Dalpark,Gauteng,Ekurhuleni (EKU),Anzac
276,Dalpark Ext 13,1541,Dalpark,Gauteng,Ekurhuleni (EKU),Anzac
277,Kenleaf Ext 9,1541,KENLEAF EXT 9,Gauteng,Ekurhuleni (EKU),Anzac
278,Sunair Park,1541,Minnebron,Gauteng,Ekurhuleni (EKU),Anzac
279,Arlington,9602,Arlington,Free State,Thabo Mofutsanyane (DC19),Arlington
280,Leratswana,9602,Arlington,Free State,Thabo Mofutsanyane (DC19),Arlington
281,Karpad,6715,Ashton,Western Cape,Cape Winelands (DC2),Ashton
282,Noordwes,6715,Ashton,Western Cape,Cape Winelands (DC2),Ashton
283,Zolani,6715,Ashton,Western Cape,Cape Winelands (DC2),Ashton
284,Ashton,6715,Ashton,Western Cape,Cape Winelands (DC2),Ashton
285,Askeaton,5413,ASKEATON,Eastern Cape,Chris Hani (DC13),Askeaton
286,Askham,8814,Askham,Northern Cape,Siyanda (DC8),Askham
287,Askraal,6667,HEIDELBERG WC,Western Cape,Eden (DC4),Askraal
288,Atamelang,2732,ATAMELANG,North West,Central (DC38),Atamelang
289,Alicedale Estate,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
290,Belgravia Estate,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
291,Bokmakierie,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
292,Fifth Avenue Village,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
293,Gleemoor,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
294,Greenhaven,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
295,Hazendal,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
296,Heideveld,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
297,Kewtown,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
298,Newfields,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
299,Parktown,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
300,Silvertown,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
301,Sunnyside,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
302,Surrey Estate,7764,Athlone,Western Cape,City of Cape Town (CPT),Athlone
